#G1           G2             G3             W2            W3
0.0778        -0.4736        -0.9105        0.1826        5.0048e-03
0.0983        -0.4911        -1.0000        0.1887        5.0265e-03
0.1037        -0.4585        -1.0000        0.1917        5.0165e-03
0.1123        -0.4684        -1.0000        0.1908        5.0054e-03
0.1138        -0.4511        -0.9875        0.1983        5.0073e-03
0.0947        -0.4344        -0.9651        0.2037        4.9907e-03
0.0886        -0.4418        -0.9502        0.1968        4.9991e-03
0.1055        -0.4381        -0.9848        0.2019        4.9986e-03
0.1072        -0.4329        -0.9823        0.2057        5.0104e-03
0.0914        -0.4201        -0.8065        0.1970        5.0141e-03
0.0993        -0.4387        -0.9086        0.1948        5.0136e-03
0.1004        -0.4431        -0.9203        0.1961        4.9848e-03
0.1125        -0.4472        -0.9960        0.2033        4.9952e-03
0.1104        -0.4543        -1.0000        0.2021        5.0225e-03
0.1050        -0.4720        -1.0000        0.1937        5.0176e-03
0.1117        -0.4797        -1.0000        0.1953        5.0175e-03
0.1389        -0.4657        -1.0000        0.1958        5.0268e-03
0.1348        -0.4722        -1.0000        0.1957        5.0344e-03
0.1369        -0.4583        -0.9764        0.2010        5.0216e-03
0.1359        -0.4605        -0.9968        0.1994        5.0201e-03
0.1326        -0.4419        -0.9259        0.2035        5.0144e-03
0.1285        -0.4285        -0.8736        0.2065        5.0171e-03
0.1376        -0.4518        -0.9431        0.2087        4.9977e-03
0.1519        -0.4472        -0.9505        0.2157        5.0173e-03
0.1584        -0.4235        -0.9389        0.2202        5.0229e-03
0.1402        -0.4365        -0.9354        0.2176        4.8917e-03
0.1389        -0.4414        -0.9657        0.2202        5.0145e-03
0.1316        -0.4252        -0.9059        0.2239        5.0223e-03
0.1376        -0.4248        -0.8983        0.2238        5.0214e-03
0.1390        -0.4186        -0.8695        0.2239        5.0063e-03
0.1603        -0.3949        -0.7500        0.2313        4.9978e-03
0.1684        -0.4071        -0.8556        0.2330        5.0145e-03
0.1592        -0.4130        -0.8448        0.2300        4.9827e-03
0.1371        -0.3955        -0.7693        0.2303        5.0034e-03
0.1159        -0.4053        -0.8249        0.2245        5.0028e-03
0.1161        -0.4125        -0.8606        0.2215        5.0118e-03
0.1037        -0.4211        -0.7909        0.2198        4.9976e-03
0.0946        -0.4482        -0.7526        0.2073        4.9907e-03
0.0983        -0.4502        -0.8386        0.2079        5.0101e-03
0.0843        -0.4405        -0.7826        0.2074        5.0053e-03
0.0956        -0.4465        -0.8160        0.2086        5.0058e-03
0.1050        -0.4384        -0.7844        0.2134        5.0032e-03
0.1098        -0.4417        -0.8165        0.2134        4.9920e-03
0.1264        -0.4278        -0.7516        0.2148        4.9978e-03
0.1253        -0.4313        -0.8254        0.2190        4.9973e-03
0.1239        -0.4225        -0.8240        0.2189        5.0097e-03
0.0966        -0.4227        -0.8189        0.2208        5.0133e-03
0.1268        -0.4319        -0.8486        0.2212        4.9979e-03
0.1238        -0.4233        -0.7900        0.2195        5.0005e-03
0.1067        -0.4188        -0.7890        0.2196        5.0107e-03
0.0868        -0.3942        -0.8244        0.2236        5.0106e-03
0.0973        -0.3966        -0.8418        0.2236        5.0089e-03
